Invoice,TotalItems
489434,166
489435,60
489436,193
489437,145
489438,826
489439,219
489440,16
489441,102
489442,275
489443,120
489444,1
489445,280
489446,382
489447,1
489448,192
489450,100
489460,977
489461,379
489462,38
489465,408
489488,80
489505,64
489514,326
489517,138
489519,247
489520,293
489522,409
489523,800
489526,484
489529,212
489531,54
489532,353
489533,67
489536,216
489537,250
489539,1598
489540,188
489542,264
489544,226
489545,92
489546,212
489547,595
489550,232
489552,129
489556,176
489557,442
489558,154
489559,26
489560,1585
489561,273
489562,107
489564,326
489566,35
489567,150
489569,312
489571,50
489572,273
489573,306
489574,313
489575,300
489576,178
489579,177
489580,276
489581,137
489582,125
489584,1
489585,67
489586,98
489590,87
489593,95
489594,181
489598,575
489599,1403
489606,1
489611,1
489613,1
489617,42
489634,12
489635,173
489637,157
489639,48
489640,600
489641,462
489644,317
489645,97
489650,90
489652,146
489654,115
489656,401
489657,32
489658,249
489661,34
489662,25
489664,57
489665,118
489666,203
489667,221
489668,198
489669,168
489670,28
489671,966
489672,421
489673,34
489674,266
489675,1930
489676,840
489677,48
489678,113
489679,280
489680,36
489681,183
489682,303
489683,721
489684,116
489687,113
489688,54
489695,121
489699,238
489702,2020
489705,4
489723,1339
489725,300
489726,200
489727,450
489728,349
489733,48
489743,320
489748,84
489764,82
489765,91
489766,90
489780,90
489782,148
489783,152
489784,48
489785,250
489786,199
489787,127
489788,38
489789,24
489790,88
489791,90
489792,165
489793,124
489794,55
489795,287
489796,268
489797,142
489798,97
489800,532
489801,144
489802,156
489804,185
489805,227
489807,241
489808,82
489809,68
489810,165
489811,515
489812,85
489814,506
489815,41
489816,258
489817,132
489818,102
489819,465
489822,103
489823,42
489824,127
489825,94
489826,17
489827,382
489829,237
489830,242
489831,480
489832,122
489833,79
489834,24
489835,280
489837,274
489840,6
489855,56
489862,150
489863,21
489864,79
489865,53
489866,587
489868,248
489869,27
489870,118
489871,274
489872,320
489873,12
489874,144
489875,219
489876,22
489877,162
489878,56
489879,138
489880,552
489883,263
489884,19
489888,660
489889,3200
489890,592
489891,144
489893,98
489894,396
489895,266
489896,227
489897,176
489900,253
489902,18
489904,150
489905,242
489906,96
489907,104
489908,41
489909,428
489910,288
489912,578
489913,16
489914,508
489915,36
489916,212
489932,48
489935,31
489994,142
489996,514
489998,93
489999,72
490000,89
490001,94
490002,115
490003,163
490004,224
490005,203
490006,150
490008,257
490009,100
490010,480
490011,138
490012,339
490013,395
490014,407
490017,267
490018,17520
490019,116
490020,14
490021,12
490022,24
490023,49
490024,121
490034,30
490045,109
490046,66
490047,131
490048,681
490049,40
490050,2
490052,408
490053,101
490054,186
490056,56
490057,184
490058,27
490059,4825
490060,148
490061,2000
490062,86
490063,117
490064,215
490065,600
490066,212
490067,412
490068,90
490069,60
490070,68
490071,111
490072,71
490073,172
490075,84
490077,65
490078,159
490079,85
490080,126
490081,323
490082,262
490083,1132
490085,108
490086,432
490087,668
490088,2
490089,252
490090,25
490091,600
490092,297
490093,896
490094,504
490095,54
490097,146
490099,526
490100,403
490101,150
490106,275
490107,30
490108,444
490109,204
490110,13
490111,221
490112,161
490113,16
490114,160
490115,316
490116,48
490118,151
490119,75
490121,65
490124,107
490125,109
490127,203
490128,156
490132,89
490134,59
490135,127
490136,71
490137,104
490138,198
490139,79
490140,227
490141,158
490142,356
490143,1687
490144,152
490145,439
490147,472
490151,117
490152,238
490154,111
490156,262
490157,40
490158,281
490159,2
490160,96
490161,653
490162,206
490163,115
490164,632
490166,175
490167,241
490171,32
490202,188
490209,484
490212,41
490214,201
490218,48
490219,63
490229,713
490247,208
490258,24
490266,50
490272,273
490277,600
490279,164
490281,148
490282,43
490284,213
490285,210
490286,147
490287,218
490288,112
490289,143
490290,85
490291,173
490292,157
490293,130
490294,298
490295,504
490297,328
490298,954
490299,193
490300,189
490301,93
490302,128
490303,55
490304,339
490305,289
490308,85
490310,42
490311,201
490312,352
490313,49
490320,1327
