InvoiceDate,Revenue
2009-12-31,686654.16
2010-01-31,557319.062
2010-02-28,506371.066
2010-03-31,699608.991
2010-04-30,594609.192
2010-05-31,599985.79
2010-06-30,639066.58
2010-07-31,591636.74
2010-08-31,604242.65
2010-09-30,831615.001
2010-10-31,1036680.0
2010-11-30,1172336.042
2010-12-31,884591.89
2011-01-31,569445.04
2011-02-28,447137.35
2011-03-31,595500.76
2011-04-30,469200.361
2011-05-31,678594.56
2011-06-30,661213.69
2011-07-31,600091.011
2011-08-31,645343.9
2011-09-30,952838.382
2011-10-31,1039318.79
2011-11-30,1161817.3800000001
2011-12-31,518210.79
